0,1,poisonous,odor,gill size,bruises,population,habitat,spore print color
6.3781877,-19.578264,1,pungent,narrow,yes,scattered,urban,black
-18.209711,-4.1040335,0,almond,broad,yes,numerous,grasses,brown
-8.928107,-11.681946,0,anise,broad,yes,numerous,meadows,brown
6.355554,-19.598038,1,pungent,narrow,yes,scattered,urban,black
-4.4436464,27.008524,0,none,broad,no,abundant,grasses,brown
-21.938877,2.0186243,0,almond,broad,yes,numerous,grasses,black
-11.149131,-15.730251,0,almond,broad,yes,numerous,meadows,black
-12.321048,-5.6699786,0,anise,broad,yes,scattered,meadows,brown
16.549767,-21.003849,1,pungent,narrow,yes,several,grasses,black
-22.936903,5.4944415,0,almond,broad,yes,scattered,meadows,black
-19.796751,-1.3222638,0,anise,broad,yes,numerous,grasses,brown
-22.939558,5.4918404,0,almond,broad,yes,scattered,meadows,black
-23.874895,8.582502,0,almond,broad,yes,scattered,grasses,brown
4.189313,-22.783413,1,pungent,narrow,yes,several,urban,brown
7.1735253,31.515055,0,none,broad,no,abundant,grasses,black
13.622468,-6.4788327,0,none,narrow,no,solitary,urban,brown
-4.254332,26.690022,0,none,broad,no,abundant,grasses,brown
14.864645,-19.958807,1,pungent,narrow,yes,scattered,grasses,black
15.025412,-16.38186,1,pungent,narrow,yes,scattered,urban,brown
15.018116,-16.388977,1,pungent,narrow,yes,scattered,urban,brown
-15.818837,-2.6759565,0,almond,broad,yes,scattered,meadows,brown
8.259685,-16.39346,1,pungent,narrow,yes,several,grasses,brown
-12.319691,-5.6687117,0,anise,broad,yes,scattered,meadows,brown
-10.0852165,-8.119467,0,almond,broad,yes,numerous,meadows,brown
-6.0896997,-9.3018,0,anise,broad,yes,scattered,meadows,black
8.250235,-16.400867,1,pungent,narrow,yes,several,grasses,brown
-10.055108,-8.149607,0,almond,broad,yes,numerous,meadows,brown
-8.93333,-11.686334,0,anise,broad,yes,numerous,meadows,brown
17.142252,-9.607397,0,none,narrow,no,solitary,urban,black
5.3479304,-16.510057,0,almond,narrow,yes,several,woods,brown
-8.939537,-11.691928,0,anise,broad,yes,numerous,meadows,brown
15.02793,-16.379436,1,pungent,narrow,yes,scattered,urban,brown
-8.931745,-11.684588,0,anise,broad,yes,numerous,meadows,brown
-6.0770736,-13.976124,0,anise,broad,yes,solitary,paths,brown
-12.350863,-5.6999755,0,anise,broad,yes,scattered,meadows,brown
28.280235,-11.671334,0,anise,narrow,yes,several,woods,brown
19.23435,-12.899944,0,none,narrow,no,several,urban,black
15.026128,-16.381094,1,pungent,narrow,yes,scattered,urban,brown
5.330644,-16.52722,0,almond,narrow,yes,several,woods,brown
-6.106024,-9.2855625,0,anise,broad,yes,scattered,meadows,black
-23.891508,8.578268,0,almond,broad,yes,scattered,grasses,brown
-5.9531283,-14.10022,0,anise,broad,yes,solitary,paths,black
17.14149,-9.606054,0,none,narrow,no,solitary,urban,black
8.233267,-16.419466,1,pungent,narrow,yes,several,grasses,brown
-11.141737,-15.723107,0,almond,broad,yes,numerous,meadows,black
-18.203697,-4.1102395,0,almond,broad,yes,numerous,grasses,brown
-6.10683,-9.2845335,0,anise,broad,yes,scattered,meadows,black
-8.9280405,-11.680773,0,anise,broad,yes,numerous,meadows,brown
-15.887276,-13.850307,0,anise,broad,yes,scattered,paths,brown
-15.891003,-13.853807,0,anise,broad,yes,scattered,paths,black
-5.099618,-18.737328,0,almond,broad,yes,scattered,grasses,black
-15.724374,-6.1578417,0,anise,broad,yes,scattered,grasses,black
-8.933035,-11.686031,0,anise,broad,yes,numerous,meadows,brown
4.1903553,-22.78232,1,pungent,narrow,yes,several,urban,brown
11.357735,-20.453068,1,pungent,narrow,yes,several,urban,black
-22.95141,5.4799943,0,almond,broad,yes,scattered,meadows,black
-4.1953616,26.932045,0,none,broad,no,abundant,grasses,brown
-18.198633,-4.1152616,0,almond,broad,yes,numerous,grasses,brown
-16.991278,8.6036415,0,anise,broad,yes,numerous,grasses,black
-5.9902306,-14.063308,0,almond,broad,yes,solitary,paths,black
23.39336,-2.8163342,0,none,narrow,no,several,urban,brown
-15.825803,-2.667553,0,almond,broad,yes,scattered,meadows,brown
-12.311776,-5.6621876,0,anise,broad,yes,scattered,meadows,brown
-8.931809,-11.684827,0,anise,broad,yes,numerous,meadows,brown
-14.386394,-10.100915,0,anise,broad,yes,scattered,grasses,brown
